ID	VARDAS PAVARDĖ	Sąrašas	Numeris sąraše	Porinkiminis numeris	Vienmandatė apygarda	Iškėlė vienmandatėje	Turas	Privalomas registruoti turtas (Eur)	Vertybiniai popieriai, meno kūriniai, juvelyriniai dirbiniai (Eur)	Piniginės lėšos (Eur)	Suteiktos paskolos (Eur)	Gautos paskolos (Eur)	Gautų pajamų suma (GPM305 formos 12, 13, 14 ir GPM305V formos V14 laukelių suma) (Eur)	Išskaičiuota (sumokėta) pajamų mokesčio suma (GPM305 formos 27, 28, 30 laukelių suma) (Eur)	Nuoroda į VRK psl.			
1	REGINA ABLOM	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	43	-			I	8700	0	7000	0	0	15505,7	2070	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103268.0%26rnkId%3D426			
2	INGA ABRUTYTĖ	7. Lietuvos Respublikos liberalų sąjūdis	115	-			I	0	0	200	0	1750	1616,53	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103624.0%26rnkId%3D426			
3	KĘSTUTIS AČAS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	69	-			I	115000	0	10000	0	23998	41039,44	1877	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104220.0%26rnkId%3D426			
4	REMIGIJUS AČAS			-	42. Raseinių-Kėdainių	Išsikėlė pats	I	460713	0	58787	0	112971	48134,81	4967	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1098946.0%26rnkId%3D426			
5	VIDA AČIENĖ	6. Lietuvos valstiečių ir žaliųjų sąjunga	45	-			I	49077	0	1647	0	33983	21214,13	2936	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102598.0%26rnkId%3D426			
6	DOVILĖ ADAMONYTĖ	1. Lietuvos socialdemokratų partija	59	-			I	2840	0	1210	0	2920	12025,73	1720	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103930.0%26rnkId%3D426			
7	ALGIMANTAS ADOMAITIS	5. Partija Tvarka ir teisingumas	88	-			I	23360	0	16789	0	0	3827,35	289	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102294.0%26rnkId%3D426			
8	KASPARAS ADOMAITIS	7. Lietuvos Respublikos liberalų sąjūdis	132	-			I	198278	0	0	0	95156	31957,68	4490	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103550.0%26rnkId%3D426			
9	MANTAS ADOMĖNAS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	14	-	59. Kaišiadorių-Elektrėnų	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	I	183907	89292	19147	0	294487	35127,34	4900	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104174.0%26rnkId%3D426			
10	GEDIMINAS AKELAITIS	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	26	-	29. Marijampolės	Lietuvos centro partija	I	45630	0	52000	0	0	22194,91	3329	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104590.0%26rnkId%3D426			
